base,base_role,condition,condition_id,train_size,status,escape_rate,escape_rate_count,escape_rate_wilson_ci,conditional_macro_f1,conditional_macro_f1_bootstrap_ci,n_escaped,n_total,all_seed_macro_f1,all_seed_macro_f1_bootstrap_ci,all_seed_minus_conditional,n_escaped_sustained,escape_rate_sustained,escape_rate_sustained_wilson_ci,n_escaped_then_collapsed,n_tr_stage_degenerate,tr_stage_macro_f1_mean,source_paths
xlm15,primary,transplant_random_coef,7,500,MEASURED,0.6,3/5,"[0.2307242812760128, 0.882379225767352]",0.6192029127314066,"[0.6094168066104837, 0.6315956694105044]",3,5,0.5048869255705373,"[0.38861371718548343, 0.6211601339555912]",-0.1143,3,0.6,"[0.2307242812760128, 0.882379225767352]",0,0,,"['results/runs/base=xlm15__cond=transplant_random_coef__n=500__seed=13.json', 'results/runs/base=xlm15__cond=transplant_random_coef__n=500__seed=1337.json', 'results/runs/base=xlm15__cond=transplant_random_coef__n=500__seed=2024.json', 'results/runs/base=xlm15__cond=transplant_random_coef__n=500__seed=42.json', 'results/runs/base=xlm15__cond=transplant_random_coef__n=500__seed=7.json']"
xlm15,primary,turk,2,500,MEASURED,0.8,4/5,"[0.37553462976252533, 0.9637758913675698]",0.6140880233112052,"[0.5750117401149344, 0.6388137460366372]",4,5,0.5579530076148108,"[0.4392341956361558, 0.6348661386050194]",-0.0561,4,0.8,"[0.37553462976252533, 0.9637758913675698]",0,2,0.4815929467654557,"['results/runs/base=xlm15__cond=turk__n=500__seed=13.json', 'results/runs/base=xlm15__cond=turk__n=500__seed=1337.json', 'results/runs/base=xlm15__cond=turk__n=500__seed=2024.json', 'results/runs/base=xlm15__cond=turk__n=500__seed=42.json', 'results/runs/base=xlm15__cond=turk__n=500__seed=7.json']"
xlm15,primary,her_ikisi,4,500,MEASURED,1.0,5/5,"[0.5655175352168251, 1.0]",0.6217037790300186,"[0.6111778965274507, 0.6304337615509505]",5,5,0.6217037790300186,"[0.6111778965274507, 0.6304337615509505]",0.0,5,1.0,"[0.5655175352168251, 1.0]",0,3,0.40764316132469347,"['results/runs/base=xlm15__cond=her_ikisi__n=500__seed=13.json', 'results/runs/base=xlm15__cond=her_ikisi__n=500__seed=1337.json', 'results/runs/base=xlm15__cond=her_ikisi__n=500__seed=2024.json', 'results/runs/base=xlm15__cond=her_ikisi__n=500__seed=42.json', 'results/runs/base=xlm15__cond=her_ikisi__n=500__seed=7.json']"
xlm15,primary,turk_qarisiq,5,500,MEASURED,0.6,3/5,"[0.2307242812760128, 0.882379225767352]",0.6348303867964262,"[0.6195650189995943, 0.6455713255370666]",3,5,0.514263410009549,"[0.39064335966330554, 0.6378834603557925]",-0.1206,3,0.6,"[0.2307242812760128, 0.882379225767352]",0,2,0.4949024179426747,"['results/runs/base=xlm15__cond=turk_qarisiq__n=500__seed=13.json', 'results/runs/base=xlm15__cond=turk_qarisiq__n=500__seed=1337.json', 'results/runs/base=xlm15__cond=turk_qarisiq__n=500__seed=2024.json', 'results/runs/base=xlm15__cond=turk_qarisiq__n=500__seed=42.json', 'results/runs/base=xlm15__cond=turk_qarisiq__n=500__seed=7.json']"
xlm15,primary,baza,1,10000,MEASURED,0.6666666666666666,2/3,"[0.2076596008020477, 0.9385080552796037]",0.742724161543568,"[0.7398460851076942, 0.7456022379794419]",2,3,0.6062870893054565,"[0.33341294482923334, 0.7456022379794419]",-0.1364,2,0.6666666666666666,"[0.2076596008020477, 0.9385080552796037]",0,0,,"['results/runs/base=xlm15__cond=baza__n=10000__seed=13.json', 'results/runs/base=xlm15__cond=baza__n=10000__seed=1337.json', 'results/runs/base=xlm15__cond=baza__n=10000__seed=42.json']"
xlm15,primary,tokenizator,3,10000,MEASURED,1.0,3/3,"[0.4385029682449546, 1.0]",0.7657052308134321,"[0.7485623392844589, 0.7781745727563246]",3,3,0.7657052308134321,"[0.7485623392844589, 0.7781745727563246]",0.0,3,1.0,"[0.4385029682449546, 1.0]",0,0,,"['results/runs/base=xlm15__cond=tokenizator__n=10000__seed=13.json', 'results/runs/base=xlm15__cond=tokenizator__n=10000__seed=1337.json', 'results/runs/base=xlm15__cond=tokenizator__n=10000__seed=42.json']"
xlm15,primary,transplant_mean,6,10000,MEASURED,0.3333333333333333,1/3,"[0.06149194472039621, 0.7923403991979522]",0.7652997359773683,"[0.7652997359773683, 0.7652997359773683]",1,3,0.4773752085452783,"[0.33341294482923334, 0.7652997359773682]",-0.2879,1,0.3333333333333333,"[0.06149194472039621, 0.7923403991979522]",0,0,,"['results/runs/base=xlm15__cond=transplant_mean__n=10000__seed=13.json', 'results/runs/base=xlm15__cond=transplant_mean__n=10000__seed=1337.json', 'results/runs/base=xlm15__cond=transplant_mean__n=10000__seed=42.json']"
xlm15,primary,transplant_random_coef,7,10000,MEASURED,0.3333333333333333,1/3,"[0.06149194472039621, 0.7923403991979522]",0.6319170811532416,"[0.6319170811532416, 0.6319170811532416]",1,3,0.4532743597050171,"[0.33341294482923334, 0.6319170811532416]",-0.1786,1,0.3333333333333333,"[0.06149194472039621, 0.7923403991979522]",0,0,,"['results/runs/base=xlm15__cond=transplant_random_coef__n=10000__seed=13.json', 'results/runs/base=xlm15__cond=transplant_random_coef__n=10000__seed=1337.json', 'results/runs/base=xlm15__cond=transplant_random_coef__n=10000__seed=42.json']"
xlm15,primary,baza,1,20914,MEASURED,1.0,3/3,"[0.4385029682449546, 1.0]",0.7373646868727265,"[0.7008858600767688, 0.7576360628108686]",3,3,0.7373646868727265,"[0.7008858600767688, 0.7576360628108686]",0.0,3,1.0,"[0.4385029682449546, 1.0]",0,0,,"['results/runs/base=xlm15__cond=baza__n=20914__seed=13.json', 'results/runs/base=xlm15__cond=baza__n=20914__seed=1337.json', 'results/runs/base=xlm15__cond=baza__n=20914__seed=42.json']"
xlm15,primary,tokenizator,3,20914,MEASURED,0.3333333333333333,1/3,"[0.06149194472039621, 0.7923403991979522]",0.790034857125838,"[0.790034857125838, 0.790034857125838]",1,3,0.48562024892810157,"[0.33341294482923334, 0.7900348571258379]",-0.3044,1,0.3333333333333333,"[0.06149194472039621, 0.7923403991979522]",0,0,,"['results/runs/base=xlm15__cond=tokenizator__n=20914__seed=13.json', 'results/runs/base=xlm15__cond=tokenizator__n=20914__seed=1337.json', 'results/runs/base=xlm15__cond=tokenizator__n=20914__seed=42.json']"
xlm15,primary,transplant_mean,6,20914,MEASURED,1.0,3/3,"[0.4385029682449546, 1.0]",0.7262576569981736,"[0.5777552950787074, 0.8013044143774982]",3,3,0.7262576569981736,"[0.5777552950787074, 0.8013044143774982]",0.0,2,0.6666666666666666,"[0.2076596008020477, 0.9385080552796037]",1,0,,"['results/runs/base=xlm15__cond=transplant_mean__n=20914__seed=13.json', 'results/runs/base=xlm15__cond=transplant_mean__n=20914__seed=1337.json', 'results/runs/base=xlm15__cond=transplant_mean__n=20914__seed=42.json']"
xlm15,primary,transplant_random_coef,7,20914,MEASURED,0.3333333333333333,1/3,"[0.06149194472039621, 0.7923403991979522]",0.7670582948125322,"[0.7670582948125322, 0.7670582948125322]",1,3,0.4779613948236663,"[0.33341294482923334, 0.7670582948125322]",-0.2891,1,0.3333333333333333,"[0.06149194472039621, 0.7923403991979522]",0,0,,"['results/runs/base=xlm15__cond=transplant_random_coef__n=20914__seed=13.json', 'results/runs/base=xlm15__cond=transplant_random_coef__n=20914__seed=1337.json', 'results/runs/base=xlm15__cond=transplant_random_coef__n=20914__seed=42.json']"
xlmr,contrast,baza,1,500,MEASURED,1.0,5/5,"[0.5655175352168251, 1.0]",0.7980419795890861,"[0.7938844952678723, 0.8041831194261974]",5,5,0.7980419795890861,"[0.7938844952678723, 0.8041831194261974]",0.0,5,1.0,"[0.5655175352168251, 1.0]",0,0,,"['results/runs/base=xlmr__cond=baza__n=500__seed=13.json', 'results/runs/base=xlmr__cond=baza__n=500__seed=1337.json', 'results/runs/base=xlmr__cond=baza__n=500__seed=2024.json', 'results/runs/base=xlmr__cond=baza__n=500__seed=42.json', 'results/runs/base=xlmr__cond=baza__n=500__seed=7.json']"
xlmr,contrast,tokenizator,3,500,MEASURED,1.0,5/5,"[0.5655175352168251, 1.0]",0.7198141034406302,"[0.7102383864161691, 0.7282869568533369]",5,5,0.7198141034406302,"[0.7102383864161691, 0.7282869568533369]",0.0,5,1.0,"[0.5655175352168251, 1.0]",0,0,,"['results/runs/base=xlmr__cond=tokenizator__n=500__seed=13.json', 'results/runs/base=xlmr__cond=tokenizator__n=500__seed=1337.json', 'results/runs/base=xlmr__cond=tokenizator__n=500__seed=2024.json', 'results/runs/base=xlmr__cond=tokenizator__n=500__seed=42.json', 'results/runs/base=xlmr__cond=tokenizator__n=500__seed=7.json']"
xlmr,contrast,transplant_mean,6,500,MEASURED,1.0,5/5,"[0.5655175352168251, 1.0]",0.7420738710101846,"[0.7317013493715383, 0.752446392648831]",5,5,0.7420738710101846,"[0.7317013493715383, 0.752446392648831]",0.0,5,1.0,"[0.5655175352168251, 1.0]",0,0,,"['results/runs/base=xlmr__cond=transplant_mean__n=500__seed=13.json', 'results/runs/base=xlmr__cond=transplant_mean__n=500__seed=1337.json', 'results/runs/base=xlmr__cond=transplant_mean__n=500__seed=2024.json', 'results/runs/base=xlmr__cond=transplant_mean__n=500__seed=42.json', 'results/runs/base=xlmr__cond=transplant_mean__n=500__seed=7.json']"
xlmr,contrast,transplant_random_coef,7,500,MEASURED,1.0,5/5,"[0.5655175352168251, 1.0]",0.6984757337114855,"[0.6882036933835678, 0.7088387303214365]",5,5,0.6984757337114855,"[0.6882036933835678, 0.7088387303214365]",0.0,5,1.0,"[0.5655175352168251, 1.0]",0,0,,"['results/runs/base=xlmr__cond=transplant_random_coef__n=500__seed=13.json', 'results/runs/base=xlmr__cond=transplant_random_coef__n=500__seed=1337.json', 'results/runs/base=xlmr__cond=transplant_random_coef__n=500__seed=2024.json', 'results/runs/base=xlmr__cond=transplant_random_coef__n=500__seed=42.json', 'results/runs/base=xlmr__cond=transplant_random_coef__n=500__seed=7.json']"
xlmr,contrast,turk,2,500,MEASURED,1.0,5/5,"[0.5655175352168251, 1.0]",0.8149423721880616,"[0.8103612464723933, 0.8193423448210968]",5,5,0.8149423721880616,"[0.8103612464723933, 0.8193423448210968]",0.0,5,1.0,"[0.5655175352168251, 1.0]",0,0,0.7966655892819746,"['results/runs/base=xlmr__cond=turk__n=500__seed=13.json', 'results/runs/base=xlmr__cond=turk__n=500__seed=1337.json', 'results/runs/base=xlmr__cond=turk__n=500__seed=2024.json', 'results/runs/base=xlmr__cond=turk__n=500__seed=42.json', 'results/runs/base=xlmr__cond=turk__n=500__seed=7.json']"
xlmr,contrast,her_ikisi,4,500,MEASURED,1.0,5/5,"[0.5655175352168251, 1.0]",0.7260565808422341,"[0.7078201977737925, 0.7406455805286313]",5,5,0.7260565808422341,"[0.7078201977737925, 0.7406455805286313]",0.0,5,1.0,"[0.5655175352168251, 1.0]",0,0,0.6990272865902553,"['results/runs/base=xlmr__cond=her_ikisi__n=500__seed=13.json', 'results/runs/base=xlmr__cond=her_ikisi__n=500__seed=1337.json', 'results/runs/base=xlmr__cond=her_ikisi__n=500__seed=2024.json', 'results/runs/base=xlmr__cond=her_ikisi__n=500__seed=42.json', 'results/runs/base=xlmr__cond=her_ikisi__n=500__seed=7.json']"
xlmr,contrast,turk_qarisiq,5,500,MEASURED,1.0,5/5,"[0.5655175352168251, 1.0]",0.8053511619921876,"[0.7988515092235963, 0.8097670361829582]",5,5,0.8053511619921876,"[0.7988515092235963, 0.8097670361829582]",0.0,5,1.0,"[0.5655175352168251, 1.0]",0,0,0.7726832401434953,"['results/runs/base=xlmr__cond=turk_qarisiq__n=500__seed=13.json', 'results/runs/base=xlmr__cond=turk_qarisiq__n=500__seed=1337.json', 'results/runs/base=xlmr__cond=turk_qarisiq__n=500__seed=2024.json', 'results/runs/base=xlmr__cond=turk_qarisiq__n=500__seed=42.json', 'results/runs/base=xlmr__cond=turk_qarisiq__n=500__seed=7.json']"
