base,train_size,baseline,comparison,n_runs_baseline,n_runs_comparison,baseline_escape,comparison_escape,baseline_escape_rate,comparison_escape_rate,baseline_escape_wilson_ci,comparison_escape_wilson_ci,escape_rate_diff,escape_fisher_odds_ratio,escape_fisher_p_value,escape_significant,n_escaped_baseline,n_escaped_comparison,conditional_mean_baseline,conditional_mean_comparison,conditional_status,conditional_baseline_ci,conditional_comparison_ci,conditional_diff,conditional_ci_low,conditional_ci_high,conditional_ci_excludes_zero,conditional_t_stat,conditional_p_value,conditional_significant,conditional_cohens_d,seed_std_pooled,diff_over_noise,n_shared_escaped_seeds,shared_escaped_seeds,paired_status,paired_mean_diff,paired_t_stat,paired_p_value,paired_significant,paired_all_same_sign,all_seed_mean_baseline,all_seed_mean_comparison,all_seed_diff,all_seed_diff_sign_matches_conditional,all_seed_paired_p_value,all_seed_paired_n,p_adjusted_holm,survives_family_correction,paired_note,conditional_note
xlm15,20914,baza,transplant_random_coef,3,3,3/3,1/3,1.0,0.3333,"[0.4385029682449546, 1.0]","[0.06149194472039621, 0.7923403991979522]",-0.6667,0.0,0.4,False,3,1,0.7374,0.7671,NOT MEASURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Escape edən seed sayı < 2 — şərtli macro-F1 müqayisəsi aparılmadı. Escape rate hələ də oxunmalıdır.
xlm15,20914,tokenizator,transplant_mean,3,3,1/3,3/3,0.3333,1.0,"[0.06149194472039621, 0.7923403991979522]","[0.4385029682449546, 1.0]",0.6667,,0.4,False,1,3,0.79,0.7263,NOT MEASURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Escape edən seed sayı < 2 — şərtli macro-F1 müqayisəsi aparılmadı. Escape rate hələ də oxunmalıdır.
xlm15,20914,tokenizator,transplant_random_coef,3,3,1/3,1/3,0.3333,0.3333,"[0.06149194472039621, 0.7923403991979522]","[0.06149194472039621, 0.7923403991979522]",0.0,1.0,1.0,False,1,1,0.79,0.7671,NOT MEASURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Escape edən seed sayı < 2 — şərtli macro-F1 müqayisəsi aparılmadı. Escape rate hələ də oxunmalıdır.
xlm15,20914,transplant_mean,transplant_random_coef,3,3,3/3,1/3,1.0,0.3333,"[0.4385029682449546, 1.0]","[0.06149194472039621, 0.7923403991979522]",-0.6667,0.0,0.4,False,3,1,0.7263,0.7671,NOT MEASURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Escape edən seed sayı < 2 — şərtli macro-F1 müqayisəsi aparılmadı. Escape rate hələ də oxunmalıdır.
xlmr,500,baza,her_ikisi,5,5,5/5,5/5,1.0,1.0,"[0.5655175352168251, 1.0]","[0.5655175352168251, 1.0]",0.0,,1.0,False,5,5,0.798,0.7261,MEASURED,"[0.7938844952678723, 0.8041831194261974]","[0.7078201977737925, 0.7406455805286313]",-0.072,-0.0917,-0.0562,True,-7.0102,0.00107,True,-4.434,0.0162,4.43,5.0,"[7, 13, 42, 1337, 2024]",MEASURED,-0.072,-5.7479,0.00454,True,True,0.798,0.7261,-0.072,,0.00454,5.0,0.06313,False,,
xlmr,500,baza,tokenizator,5,5,5/5,5/5,1.0,1.0,"[0.5655175352168251, 1.0]","[0.5655175352168251, 1.0]",0.0,,1.0,False,5,5,0.798,0.7198,MEASURED,"[0.7938844952678723, 0.8041831194261974]","[0.7102383864161691, 0.7282869568533369]",-0.0782,-0.0898,-0.0682,True,-12.6395,1e-05,True,-7.994,0.0098,7.99,5.0,"[7, 13, 42, 1337, 2024]",MEASURED,-0.0782,-11.2641,0.00035,True,True,0.798,0.7198,-0.0782,,0.00035,5.0,0.00076,True,,
xlmr,500,baza,transplant_mean,5,5,5/5,5/5,1.0,1.0,"[0.5655175352168251, 1.0]","[0.5655175352168251, 1.0]",0.0,,1.0,False,5,5,0.798,0.7421,MEASURED,"[0.7938844952678723, 0.8041831194261974]","[0.7317013493715383, 0.752446392648831]",-0.056,-0.0679,-0.0445,True,-8.4026,0.00014,True,-5.314,0.0105,5.31,5.0,"[7, 13, 42, 1337, 2024]",MEASURED,-0.056,-6.7206,0.00255,True,True,0.798,0.7421,-0.056,,0.00255,5.0,0.00896,True,,
xlmr,500,baza,transplant_random_coef,5,5,5/5,5/5,1.0,1.0,"[0.5655175352168251, 1.0]","[0.5655175352168251, 1.0]",0.0,,1.0,False,5,5,0.798,0.6985,MEASURED,"[0.7938844952678723, 0.8041831194261974]","[0.6882036933835678, 0.7088387303214365]",-0.0996,-0.1115,-0.088,True,-14.8545,1e-05,True,-9.395,0.0106,9.39,5.0,"[7, 13, 42, 1337, 2024]",MEASURED,-0.0996,-13.0463,0.0002,True,True,0.798,0.6985,-0.0996,,0.0002,5.0,0.00076,True,,
xlmr,500,baza,turk,5,5,5/5,5/5,1.0,1.0,"[0.5655175352168251, 1.0]","[0.5655175352168251, 1.0]",0.0,,1.0,False,5,5,0.798,0.8149,MEASURED,"[0.7938844952678723, 0.8041831194261974]","[0.8103612464723933, 0.8193423448210968]",0.0169,0.0094,0.0235,True,4.168,0.00337,True,2.636,0.0064,2.64,5.0,"[7, 13, 42, 1337, 2024]",MEASURED,0.0169,7.1199,0.00206,True,True,0.798,0.8149,0.0169,,0.00206,5.0,0.19546,False,,
xlmr,500,baza,turk_qarisiq,5,5,5/5,5/5,1.0,1.0,"[0.5655175352168251, 1.0]","[0.5655175352168251, 1.0]",0.0,,1.0,False,5,5,0.798,0.8054,MEASURED,"[0.7938844952678723, 0.8041831194261974]","[0.7988515092235963, 0.8097670361829582]",0.0073,-0.0012,0.0142,False,1.6451,0.13858,False,1.04,0.007,1.04,5.0,"[7, 13, 42, 1337, 2024]",MEASURED,0.0073,2.0543,0.10915,False,False,0.798,0.8054,0.0073,,0.10915,5.0,1.0,False,,
xlmr,500,her_ikisi,tokenizator,5,5,5/5,5/5,1.0,1.0,"[0.5655175352168251, 1.0]","[0.5655175352168251, 1.0]",0.0,,1.0,False,5,5,0.7261,0.7198,MEASURED,"[0.7078201977737925, 0.7406455805286313]","[0.7102383864161691, 0.7282869568533369]",-0.0062,-0.0246,0.0141,False,-0.5599,0.5952,False,-0.354,0.0176,0.35,5.0,"[7, 13, 42, 1337, 2024]",MEASURED,-0.0062,-0.6717,0.53859,False,False,0.7261,0.7198,-0.0062,,0.53859,5.0,1.0,False,,
xlmr,500,her_ikisi,transplant_mean,5,5,5/5,5/5,1.0,1.0,"[0.5655175352168251, 1.0]","[0.5655175352168251, 1.0]",0.0,,1.0,False,5,5,0.7261,0.7421,MEASURED,"[0.7078201977737925, 0.7406455805286313]","[0.7317013493715383, 0.752446392648831]",0.016,-0.0029,0.0372,False,1.4029,0.20617,False,0.887,0.0181,0.89,5.0,"[7, 13, 42, 1337, 2024]",MEASURED,0.016,2.6372,0.05775,False,True,0.7261,0.7421,0.016,,0.05775,5.0,1.0,False,,
