03:00:54 | INFO    | src.training.finetune |   [AZ mərhələsi] 500 nümunə | 2 sinif | init=baza
03:00:55 | INFO    | src.training.finetune | Task head reset: modules=['classifier'] params=592130 (encoder='roberta' untouched)
03:00:55 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-09T03:00:55.026709+00:00 n=500 n_classes=2
03:00:56 | INFO    | src.training.finetune | STEP step=10 loss=0.7042 dt_sec=0.76 cum_wall_sec=0.8
03:00:57 | INFO    | src.training.finetune | STEP step=20 loss=0.7242 dt_sec=0.69 cum_wall_sec=1.4
03:00:57 | INFO    | src.training.finetune | STEP step=30 loss=0.7089 dt_sec=0.67 cum_wall_sec=2.1
03:00:58 | INFO    | src.training.finetune | STEP step=40 loss=0.7008 dt_sec=0.66 cum_wall_sec=2.8
03:00:59 | INFO    | src.training.finetune | STEP step=50 loss=0.6938 dt_sec=0.65 cum_wall_sec=3.4
03:00:59 | INFO    | src.training.finetune | STEP step=60 loss=0.6957 dt_sec=0.67 cum_wall_sec=4.1
03:01:00 | INFO    | src.training.finetune | STEP step=70 loss=0.7000 dt_sec=0.66 cum_wall_sec=4.8
03:01:01 | INFO    | src.training.finetune | STEP step=80 loss=0.6939 dt_sec=0.66 cum_wall_sec=5.4
03:01:01 | INFO    | src.training.finetune | STEP step=90 loss=0.7009 dt_sec=0.67 cum_wall_sec=6.1
03:01:02 | INFO    | src.training.finetune | STEP step=100 loss=0.6763 dt_sec=0.66 cum_wall_sec=6.7
03:01:03 | INFO    | src.training.finetune | STEP step=110 loss=0.6641 dt_sec=0.67 cum_wall_sec=7.4
03:01:03 | INFO    | src.training.finetune | STEP step=120 loss=0.6528 dt_sec=0.66 cum_wall_sec=8.1
03:01:04 | INFO    | src.training.finetune | STEP step=130 loss=0.6748 dt_sec=0.66 cum_wall_sec=8.7
03:01:05 | INFO    | src.training.finetune | STEP step=140 loss=0.6698 dt_sec=0.68 cum_wall_sec=9.4
03:01:05 | INFO    | src.training.finetune | STEP step=150 loss=0.6343 dt_sec=0.66 cum_wall_sec=10.1
03:01:06 | INFO    | src.training.finetune | STEP step=160 loss=0.5901 dt_sec=0.67 cum_wall_sec=10.7
03:01:07 | INFO    | src.training.finetune | STEP step=170 loss=0.5266 dt_sec=0.67 cum_wall_sec=11.4
03:01:07 | INFO    | src.training.finetune | STEP step=180 loss=0.5400 dt_sec=0.67 cum_wall_sec=12.1
