02:04:16 | INFO    | src.training.finetune |   [AZ mərhələsi] 20914 nümunə | 2 sinif | init=baza
02:04:16 | INFO    | src.training.finetune | Task head reset: modules=['sequence_summary'] params=2050 (encoder='transformer' untouched)
02:04:16 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-09T02:04:16.734744+00:00 n=20914 n_classes=2
02:04:18 | INFO    | src.training.finetune | STEP step=10 loss=5.1661 dt_sec=0.85 cum_wall_sec=0.8
02:04:19 | INFO    | src.training.finetune | STEP step=20 loss=3.3760 dt_sec=0.77 cum_wall_sec=1.6
02:04:20 | INFO    | src.training.finetune | STEP step=30 loss=2.6947 dt_sec=0.77 cum_wall_sec=2.4
02:04:21 | INFO    | src.training.finetune | STEP step=40 loss=1.9968 dt_sec=0.77 cum_wall_sec=3.2
02:04:21 | INFO    | src.training.finetune | STEP step=50 loss=2.0293 dt_sec=0.77 cum_wall_sec=3.9
02:04:22 | INFO    | src.training.finetune | STEP step=60 loss=2.2181 dt_sec=0.78 cum_wall_sec=4.7
02:04:23 | INFO    | src.training.finetune | STEP step=70 loss=1.9791 dt_sec=0.77 cum_wall_sec=5.5
02:04:24 | INFO    | src.training.finetune | STEP step=80 loss=2.0517 dt_sec=0.77 cum_wall_sec=6.2
02:04:24 | INFO    | src.training.finetune | STEP step=90 loss=1.4556 dt_sec=0.78 cum_wall_sec=7.0
02:04:25 | INFO    | src.training.finetune | STEP step=100 loss=1.8623 dt_sec=0.77 cum_wall_sec=7.8
02:04:26 | INFO    | src.training.finetune | STEP step=110 loss=1.3346 dt_sec=0.79 cum_wall_sec=8.6
02:04:27 | INFO    | src.training.finetune | STEP step=120 loss=1.3891 dt_sec=0.78 cum_wall_sec=9.4
02:04:28 | INFO    | src.training.finetune | STEP step=130 loss=1.4018 dt_sec=0.76 cum_wall_sec=10.1
02:04:28 | INFO    | src.training.finetune | STEP step=140 loss=1.1385 dt_sec=0.76 cum_wall_sec=10.9
02:04:29 | INFO    | src.training.finetune | STEP step=150 loss=1.2963 dt_sec=0.78 cum_wall_sec=11.7
02:04:30 | INFO    | src.training.finetune | STEP step=160 loss=1.2567 dt_sec=0.80 cum_wall_sec=12.5
02:04:31 | INFO    | src.training.finetune | STEP step=170 loss=0.9631 dt_sec=0.80 cum_wall_sec=13.3
02:04:31 | INFO    | src.training.finetune | STEP step=180 loss=1.0813 dt_sec=0.77 cum_wall_sec=14.0
02:04:32 | INFO    | src.training.finetune | STEP step=190 loss=1.1007 dt_sec=0.78 cum_wall_sec=14.8
02:04:33 | INFO    | src.training.finetune | STEP step=200 loss=1.2632 dt_sec=0.79 cum_wall_sec=15.6
02:04:36 | INFO    | src.training.finetune | STEP step=210 loss=0.9488 dt_sec=3.09 cum_wall_sec=18.7
02:04:37 | INFO    | src.training.finetune | STEP step=220 loss=0.9246 dt_sec=0.78 cum_wall_sec=19.5
02:04:38 | INFO    | src.training.finetune | STEP step=230 loss=1.0124 dt_sec=0.78 cum_wall_sec=20.3
02:04:38 | INFO    | src.training.finetune | STEP step=240 loss=1.0555 dt_sec=0.78 cum_wall_sec=21.0
02:04:39 | INFO    | src.training.finetune | STEP step=250 loss=1.1148 dt_sec=0.78 cum_wall_sec=21.8
02:04:40 | INFO    | src.training.finetune | STEP step=260 loss=1.1362 dt_sec=0.78 cum_wall_sec=22.6
02:04:41 | INFO    | src.training.finetune | STEP step=270 loss=1.2873 dt_sec=0.78 cum_wall_sec=23.4
02:04:42 | INFO    | src.training.finetune | STEP step=280 loss=0.8355 dt_sec=0.77 cum_wall_sec=24.1
02:04:42 | INFO    | src.training.finetune | STEP step=290 loss=1.1575 dt_sec=0.77 cum_wall_sec=24.9
02:04:43 | INFO    | src.training.finetune | STEP step=300 loss=0.9785 dt_sec=0.77 cum_wall_sec=25.7
02:04:44 | INFO    | src.training.finetune | STEP step=310 loss=0.8665 dt_sec=0.76 cum_wall_sec=26.5
02:04:45 | INFO    | src.training.finetune | STEP step=320 loss=0.8662 dt_sec=0.78 cum_wall_sec=27.2
02:04:45 | INFO    | src.training.finetune | STEP step=330 loss=0.8437 dt_sec=0.79 cum_wall_sec=28.0
02:04:46 | INFO    | src.training.finetune | STEP step=340 loss=1.0001 dt_sec=0.77 cum_wall_sec=28.8
02:04:47 | INFO    | src.training.finetune | STEP step=350 loss=0.8187 dt_sec=0.78 cum_wall_sec=29.6
02:04:48 | INFO    | src.training.finetune | STEP step=360 loss=0.8942 dt_sec=0.77 cum_wall_sec=30.3
02:04:49 | INFO    | src.training.finetune | STEP step=370 loss=0.7698 dt_sec=0.78 cum_wall_sec=31.1
02:04:49 | INFO    | src.training.finetune | STEP step=380 loss=0.8232 dt_sec=0.77 cum_wall_sec=31.9
02:04:50 | INFO    | src.training.finetune | STEP step=390 loss=0.7776 dt_sec=0.78 cum_wall_sec=32.7
02:04:51 | INFO    | src.training.finetune | STEP step=400 loss=0.8444 dt_sec=0.77 cum_wall_sec=33.4
02:04:54 | INFO    | src.training.finetune | STEP step=410 loss=0.8961 dt_sec=3.16 cum_wall_sec=36.6
02:04:55 | INFO    | src.training.finetune | STEP step=420 loss=0.8368 dt_sec=0.76 cum_wall_sec=37.4
02:04:56 | INFO    | src.training.finetune | STEP step=430 loss=0.8709 dt_sec=0.82 cum_wall_sec=38.2
02:04:56 | INFO    | src.training.finetune | STEP step=440 loss=0.9680 dt_sec=0.78 cum_wall_sec=39.0
02:04:57 | INFO    | src.training.finetune | STEP step=450 loss=0.8173 dt_sec=0.78 cum_wall_sec=39.7
02:04:58 | INFO    | src.training.finetune | STEP step=460 loss=0.8244 dt_sec=0.78 cum_wall_sec=40.5
02:04:59 | INFO    | src.training.finetune | STEP step=470 loss=0.9882 dt_sec=0.78 cum_wall_sec=41.3
02:04:59 | INFO    | src.training.finetune | STEP step=480 loss=0.6918 dt_sec=0.78 cum_wall_sec=42.1
02:05:00 | INFO    | src.training.finetune | STEP step=490 loss=1.0260 dt_sec=0.77 cum_wall_sec=42.9
02:05:01 | INFO    | src.training.finetune | STEP step=500 loss=0.7783 dt_sec=0.78 cum_wall_sec=43.6
02:05:02 | INFO    | src.training.finetune | STEP step=510 loss=0.7867 dt_sec=0.77 cum_wall_sec=44.4
02:05:03 | INFO    | src.training.finetune | STEP step=520 loss=0.7277 dt_sec=0.78 cum_wall_sec=45.2
02:05:03 | INFO    | src.training.finetune | STEP step=530 loss=0.7518 dt_sec=0.79 cum_wall_sec=46.0
02:05:04 | INFO    | src.training.finetune | STEP step=540 loss=0.7416 dt_sec=0.77 cum_wall_sec=46.7
02:05:05 | INFO    | src.training.finetune | STEP step=550 loss=0.8177 dt_sec=0.79 cum_wall_sec=47.5
02:05:06 | INFO    | src.training.finetune | STEP step=560 loss=0.8297 dt_sec=0.78 cum_wall_sec=48.3
02:05:06 | INFO    | src.training.finetune | STEP step=570 loss=0.7255 dt_sec=0.77 cum_wall_sec=49.1
02:05:07 | INFO    | src.training.finetune | STEP step=580 loss=0.7449 dt_sec=0.77 cum_wall_sec=49.9
02:05:08 | INFO    | src.training.finetune | STEP step=590 loss=0.8653 dt_sec=0.78 cum_wall_sec=50.6
