01:25:30 | INFO    | src.training.finetune |   [AZ mərhələsi] 10000 nümunə | 2 sinif | init=baza
01:25:30 | INFO    | src.training.finetune | Task head reset: modules=['sequence_summary'] params=2050 (encoder='transformer' untouched)
01:25:30 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-09T01:25:30.554870+00:00 n=10000 n_classes=2
01:25:32 | INFO    | src.training.finetune | STEP step=10 loss=4.9496 dt_sec=0.89 cum_wall_sec=0.9
01:25:33 | INFO    | src.training.finetune | STEP step=20 loss=3.0170 dt_sec=0.78 cum_wall_sec=1.7
01:25:33 | INFO    | src.training.finetune | STEP step=30 loss=2.7317 dt_sec=0.78 cum_wall_sec=2.5
01:25:34 | INFO    | src.training.finetune | STEP step=40 loss=2.4239 dt_sec=0.77 cum_wall_sec=3.2
01:25:35 | INFO    | src.training.finetune | STEP step=50 loss=2.7093 dt_sec=0.78 cum_wall_sec=4.0
01:25:36 | INFO    | src.training.finetune | STEP step=60 loss=2.5801 dt_sec=0.78 cum_wall_sec=4.8
01:25:36 | INFO    | src.training.finetune | STEP step=70 loss=1.7883 dt_sec=0.78 cum_wall_sec=5.6
01:25:37 | INFO    | src.training.finetune | STEP step=80 loss=1.7599 dt_sec=0.80 cum_wall_sec=6.4
01:25:38 | INFO    | src.training.finetune | STEP step=90 loss=1.9878 dt_sec=0.78 cum_wall_sec=7.1
01:25:39 | INFO    | src.training.finetune | STEP step=100 loss=1.4118 dt_sec=0.78 cum_wall_sec=7.9
01:25:40 | INFO    | src.training.finetune | STEP step=110 loss=1.7569 dt_sec=0.79 cum_wall_sec=8.7
01:25:40 | INFO    | src.training.finetune | STEP step=120 loss=1.7741 dt_sec=0.77 cum_wall_sec=9.5
01:25:41 | INFO    | src.training.finetune | STEP step=130 loss=1.4792 dt_sec=0.78 cum_wall_sec=10.3
01:25:42 | INFO    | src.training.finetune | STEP step=140 loss=1.2843 dt_sec=0.78 cum_wall_sec=11.0
01:25:43 | INFO    | src.training.finetune | STEP step=150 loss=1.4464 dt_sec=0.79 cum_wall_sec=11.8
01:25:43 | INFO    | src.training.finetune | STEP step=160 loss=1.0465 dt_sec=0.78 cum_wall_sec=12.6
01:25:44 | INFO    | src.training.finetune | STEP step=170 loss=1.1654 dt_sec=0.78 cum_wall_sec=13.4
01:25:45 | INFO    | src.training.finetune | STEP step=180 loss=1.2024 dt_sec=0.78 cum_wall_sec=14.2
01:25:46 | INFO    | src.training.finetune | STEP step=190 loss=1.9479 dt_sec=0.77 cum_wall_sec=14.9
01:25:47 | INFO    | src.training.finetune | STEP step=200 loss=1.0511 dt_sec=0.79 cum_wall_sec=15.7
01:25:50 | INFO    | src.training.finetune | STEP step=210 loss=1.0891 dt_sec=3.10 cum_wall_sec=18.8
01:25:50 | INFO    | src.training.finetune | STEP step=220 loss=1.2148 dt_sec=0.78 cum_wall_sec=19.6
01:25:51 | INFO    | src.training.finetune | STEP step=230 loss=1.0856 dt_sec=0.77 cum_wall_sec=20.4
01:25:52 | INFO    | src.training.finetune | STEP step=240 loss=1.0217 dt_sec=0.78 cum_wall_sec=21.2
01:25:53 | INFO    | src.training.finetune | STEP step=250 loss=0.9426 dt_sec=0.76 cum_wall_sec=21.9
01:25:54 | INFO    | src.training.finetune | STEP step=260 loss=1.0842 dt_sec=0.78 cum_wall_sec=22.7
01:25:54 | INFO    | src.training.finetune | STEP step=270 loss=0.9934 dt_sec=0.79 cum_wall_sec=23.5
01:25:55 | INFO    | src.training.finetune | STEP step=280 loss=1.0531 dt_sec=0.78 cum_wall_sec=24.3
01:25:56 | INFO    | src.training.finetune | STEP step=290 loss=1.0807 dt_sec=0.77 cum_wall_sec=25.0
01:25:57 | INFO    | src.training.finetune | STEP step=300 loss=1.1767 dt_sec=0.79 cum_wall_sec=25.8
01:25:57 | INFO    | src.training.finetune | STEP step=310 loss=1.1718 dt_sec=0.79 cum_wall_sec=26.6
01:25:58 | INFO    | src.training.finetune | STEP step=320 loss=1.2471 dt_sec=0.77 cum_wall_sec=27.4
01:25:59 | INFO    | src.training.finetune | STEP step=330 loss=1.0043 dt_sec=0.81 cum_wall_sec=28.2
01:26:00 | INFO    | src.training.finetune | STEP step=340 loss=0.8266 dt_sec=0.80 cum_wall_sec=29.0
01:26:01 | INFO    | src.training.finetune | STEP step=350 loss=0.8271 dt_sec=0.79 cum_wall_sec=29.8
01:26:01 | INFO    | src.training.finetune | STEP step=360 loss=0.7904 dt_sec=0.78 cum_wall_sec=30.6
01:26:02 | INFO    | src.training.finetune | STEP step=370 loss=0.8827 dt_sec=0.77 cum_wall_sec=31.3
01:26:03 | INFO    | src.training.finetune | STEP step=380 loss=0.7731 dt_sec=0.77 cum_wall_sec=32.1
01:26:04 | INFO    | src.training.finetune | STEP step=390 loss=0.7424 dt_sec=0.77 cum_wall_sec=32.9
01:26:05 | INFO    | src.training.finetune | STEP step=400 loss=0.7960 dt_sec=0.78 cum_wall_sec=33.7
01:26:08 | INFO    | src.training.finetune | STEP step=410 loss=0.7628 dt_sec=3.16 cum_wall_sec=36.8
01:26:08 | INFO    | src.training.finetune | STEP step=420 loss=0.7349 dt_sec=0.75 cum_wall_sec=37.6
01:26:09 | INFO    | src.training.finetune | STEP step=430 loss=0.6477 dt_sec=0.77 cum_wall_sec=38.3
01:26:10 | INFO    | src.training.finetune | STEP step=440 loss=0.7459 dt_sec=0.75 cum_wall_sec=39.1
01:26:11 | INFO    | src.training.finetune | STEP step=450 loss=0.6948 dt_sec=0.74 cum_wall_sec=39.8
01:26:11 | INFO    | src.training.finetune | STEP step=460 loss=0.8221 dt_sec=0.76 cum_wall_sec=40.6
01:26:12 | INFO    | src.training.finetune | STEP step=470 loss=0.7850 dt_sec=0.78 cum_wall_sec=41.4
01:26:13 | INFO    | src.training.finetune | STEP step=480 loss=0.8433 dt_sec=0.77 cum_wall_sec=42.1
01:26:14 | INFO    | src.training.finetune | STEP step=490 loss=0.6709 dt_sec=0.77 cum_wall_sec=42.9
01:26:15 | INFO    | src.training.finetune | STEP step=500 loss=0.9534 dt_sec=0.76 cum_wall_sec=43.7
01:26:15 | INFO    | src.training.finetune | STEP step=510 loss=0.6492 dt_sec=0.78 cum_wall_sec=44.4
01:26:16 | INFO    | src.training.finetune | STEP step=520 loss=0.6767 dt_sec=0.77 cum_wall_sec=45.2
01:26:17 | INFO    | src.training.finetune | STEP step=530 loss=0.7569 dt_sec=0.78 cum_wall_sec=46.0
01:26:18 | INFO    | src.training.finetune | STEP step=540 loss=0.6197 dt_sec=0.78 cum_wall_sec=46.8
01:26:18 | INFO    | src.training.finetune | STEP step=550 loss=0.6490 dt_sec=0.77 cum_wall_sec=47.6
01:26:19 | INFO    | src.training.finetune | STEP step=560 loss=0.7735 dt_sec=0.78 cum_wall_sec=48.3
01:26:20 | INFO    | src.training.finetune | STEP step=570 loss=0.6939 dt_sec=0.77 cum_wall_sec=49.1
01:26:21 | INFO    | src.training.finetune | STEP step=580 loss=0.7526 dt_sec=0.77 cum_wall_sec=49.9
01:26:22 | INFO    | src.training.finetune | STEP step=590 loss=0.7740 dt_sec=0.77 cum_wall_sec=50.6
01:26:22 | INFO    | src.training.finetune | STEP step=600 loss=0.6804 dt_sec=0.78 cum_wall_sec=51.4
01:26:26 | INFO    | src.training.finetune | STEP step=610 loss=0.6327 dt_sec=3.26 cum_wall_sec=54.7
01:26:26 | INFO    | src.training.finetune | STEP step=620 loss=0.6799 dt_sec=0.76 cum_wall_sec=55.5
01:26:27 | INFO    | src.training.finetune | STEP step=630 loss=0.5738 dt_sec=0.73 cum_wall_sec=56.2
