20:38:01 | INFO    | src.training.finetune | STAGE=turkish_intermediate cache_hit=true ts=2026-09-08T20:38:01.301286+00:00 path=artifacts/tr_stage_cache/base=xlm15__tok=original__tr=real__seed=42__8b332e500829d15e
20:38:01 | WARNING | src.training.finetune | SOURCE STAGE DEGENERATE (cache hit): tr macro-F1=0.1595 constant_prediction=True — this run's Turkish manipulation did NOT take effect. Recorded, not excluded.
20:38:01 | INFO    | src.training.finetune |   [AZ mərhələsi] 2000 nümunə | 2 sinif | init=TR checkpoint
20:38:01 | INFO    | src.training.finetune | Task head reset: modules=['sequence_summary'] params=2050 (encoder='transformer' untouched)
20:38:01 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-08T20:38:01.387595+00:00 n=2000 n_classes=2
20:38:04 | INFO    | src.training.finetune | STEP step=10 loss=2.0677 dt_sec=0.85 cum_wall_sec=0.9
20:38:05 | INFO    | src.training.finetune | STEP step=20 loss=1.5117 dt_sec=0.78 cum_wall_sec=1.6
20:38:06 | INFO    | src.training.finetune | STEP step=30 loss=1.0927 dt_sec=0.78 cum_wall_sec=2.4
20:38:07 | INFO    | src.training.finetune | STEP step=40 loss=1.0792 dt_sec=0.77 cum_wall_sec=3.2
20:38:08 | INFO    | src.training.finetune | STEP step=50 loss=1.1419 dt_sec=0.79 cum_wall_sec=4.0
20:38:08 | INFO    | src.training.finetune | STEP step=60 loss=1.0279 dt_sec=0.80 cum_wall_sec=4.8
20:38:09 | INFO    | src.training.finetune | STEP step=70 loss=1.1175 dt_sec=0.77 cum_wall_sec=5.5
20:38:10 | INFO    | src.training.finetune | STEP step=80 loss=1.1047 dt_sec=0.79 cum_wall_sec=6.3
20:38:11 | INFO    | src.training.finetune | STEP step=90 loss=1.0709 dt_sec=0.79 cum_wall_sec=7.1
20:38:12 | INFO    | src.training.finetune | STEP step=100 loss=1.0688 dt_sec=0.78 cum_wall_sec=7.9
20:38:12 | INFO    | src.training.finetune | STEP step=110 loss=1.2029 dt_sec=0.79 cum_wall_sec=8.7
20:38:13 | INFO    | src.training.finetune | STEP step=120 loss=0.9832 dt_sec=0.76 cum_wall_sec=9.4
20:38:14 | INFO    | src.training.finetune | STEP step=130 loss=1.0862 dt_sec=0.78 cum_wall_sec=10.2
20:38:15 | INFO    | src.training.finetune | STEP step=140 loss=0.9605 dt_sec=0.79 cum_wall_sec=11.0
20:38:15 | INFO    | src.training.finetune | STEP step=150 loss=1.1257 dt_sec=0.79 cum_wall_sec=11.8
20:38:16 | INFO    | src.training.finetune | STEP step=160 loss=0.9400 dt_sec=0.78 cum_wall_sec=12.6
20:38:17 | INFO    | src.training.finetune | STEP step=170 loss=1.1171 dt_sec=0.77 cum_wall_sec=13.4
20:38:18 | INFO    | src.training.finetune | STEP step=180 loss=1.1963 dt_sec=0.78 cum_wall_sec=14.1
20:38:19 | INFO    | src.training.finetune | STEP step=190 loss=1.0868 dt_sec=0.77 cum_wall_sec=14.9
20:38:19 | INFO    | src.training.finetune | STEP step=200 loss=1.0518 dt_sec=0.77 cum_wall_sec=15.7
20:38:23 | INFO    | src.training.finetune | STEP step=210 loss=1.0136 dt_sec=3.59 cum_wall_sec=19.3
20:38:24 | INFO    | src.training.finetune | STEP step=220 loss=1.0365 dt_sec=0.79 cum_wall_sec=20.0
20:38:24 | INFO    | src.training.finetune | STEP step=230 loss=0.9498 dt_sec=0.78 cum_wall_sec=20.8
20:38:25 | INFO    | src.training.finetune | STEP step=240 loss=0.9885 dt_sec=0.78 cum_wall_sec=21.6
20:38:26 | INFO    | src.training.finetune | STEP step=250 loss=0.8702 dt_sec=0.77 cum_wall_sec=22.4
20:38:27 | INFO    | src.training.finetune | STEP step=260 loss=0.9199 dt_sec=0.77 cum_wall_sec=23.1
20:38:28 | INFO    | src.training.finetune | STEP step=270 loss=0.9716 dt_sec=0.79 cum_wall_sec=23.9
20:38:28 | INFO    | src.training.finetune | STEP step=280 loss=0.9427 dt_sec=0.79 cum_wall_sec=24.7
20:38:29 | INFO    | src.training.finetune | STEP step=290 loss=0.8558 dt_sec=0.78 cum_wall_sec=25.5
20:38:30 | INFO    | src.training.finetune | STEP step=300 loss=0.8878 dt_sec=0.77 cum_wall_sec=26.3
20:38:31 | INFO    | src.training.finetune | STEP step=310 loss=0.9000 dt_sec=0.75 cum_wall_sec=27.0
20:38:31 | INFO    | src.training.finetune | STEP step=320 loss=0.8783 dt_sec=0.74 cum_wall_sec=27.8
20:38:32 | INFO    | src.training.finetune | STEP step=330 loss=0.8222 dt_sec=0.75 cum_wall_sec=28.5
20:38:33 | INFO    | src.training.finetune | STEP step=340 loss=0.9725 dt_sec=1.07 cum_wall_sec=29.6
20:38:34 | INFO    | src.training.finetune | STEP step=350 loss=0.8513 dt_sec=0.76 cum_wall_sec=30.3
20:38:35 | INFO    | src.training.finetune | STEP step=360 loss=0.9797 dt_sec=0.77 cum_wall_sec=31.1
20:38:36 | INFO    | src.training.finetune | STEP step=370 loss=0.9698 dt_sec=0.76 cum_wall_sec=31.9
20:38:36 | INFO    | src.training.finetune | STEP step=380 loss=0.8620 dt_sec=0.75 cum_wall_sec=32.6
20:38:37 | INFO    | src.training.finetune | STEP step=390 loss=0.8418 dt_sec=0.76 cum_wall_sec=33.4
20:38:38 | INFO    | src.training.finetune | STEP step=400 loss=0.8390 dt_sec=0.76 cum_wall_sec=34.1
20:38:41 | INFO    | src.training.finetune | STEP step=410 loss=0.8338 dt_sec=3.53 cum_wall_sec=37.7
20:38:42 | INFO    | src.training.finetune | STEP step=420 loss=0.8960 dt_sec=0.76 cum_wall_sec=38.4
20:38:43 | INFO    | src.training.finetune | STEP step=430 loss=0.8445 dt_sec=0.75 cum_wall_sec=39.2
20:38:44 | INFO    | src.training.finetune | STEP step=440 loss=0.7965 dt_sec=0.76 cum_wall_sec=39.9
20:38:44 | INFO    | src.training.finetune | STEP step=450 loss=0.8434 dt_sec=0.75 cum_wall_sec=40.7
20:38:45 | INFO    | src.training.finetune | STEP step=460 loss=0.8480 dt_sec=0.75 cum_wall_sec=41.4
20:38:46 | INFO    | src.training.finetune | STEP step=470 loss=0.8629 dt_sec=0.76 cum_wall_sec=42.2
20:38:47 | INFO    | src.training.finetune | STEP step=480 loss=0.8313 dt_sec=0.76 cum_wall_sec=43.0
20:38:47 | INFO    | src.training.finetune | STEP step=490 loss=0.7667 dt_sec=0.74 cum_wall_sec=43.7
20:38:48 | INFO    | src.training.finetune | STEP step=500 loss=0.7752 dt_sec=0.77 cum_wall_sec=44.5
20:38:49 | INFO    | src.training.finetune | STEP step=510 loss=0.7564 dt_sec=0.75 cum_wall_sec=45.2
20:38:50 | INFO    | src.training.finetune | STEP step=520 loss=0.8381 dt_sec=0.76 cum_wall_sec=46.0
20:38:50 | INFO    | src.training.finetune | STEP step=530 loss=0.8287 dt_sec=0.75 cum_wall_sec=46.7
20:38:51 | INFO    | src.training.finetune | STEP step=540 loss=0.8497 dt_sec=0.75 cum_wall_sec=47.5
20:38:52 | INFO    | src.training.finetune | STEP step=550 loss=0.8214 dt_sec=0.76 cum_wall_sec=48.2
20:38:53 | INFO    | src.training.finetune | STEP step=560 loss=0.8622 dt_sec=0.78 cum_wall_sec=49.0
20:38:53 | INFO    | src.training.finetune | STEP step=570 loss=0.7792 dt_sec=0.74 cum_wall_sec=49.8
20:38:54 | INFO    | src.training.finetune | STEP step=580 loss=0.8059 dt_sec=0.76 cum_wall_sec=50.5
20:38:55 | INFO    | src.training.finetune | STEP step=590 loss=0.7593 dt_sec=0.75 cum_wall_sec=51.3
20:38:56 | INFO    | src.training.finetune | STEP step=600 loss=0.7822 dt_sec=0.76 cum_wall_sec=52.0
20:39:00 | INFO    | src.training.finetune | STEP step=610 loss=0.7630 dt_sec=3.91 cum_wall_sec=55.9
20:39:00 | INFO    | src.training.finetune | STEP step=620 loss=0.8161 dt_sec=0.76 cum_wall_sec=56.7
20:39:01 | INFO    | src.training.finetune | STEP step=630 loss=0.7847 dt_sec=0.75 cum_wall_sec=57.4
20:39:02 | INFO    | src.training.finetune | STEP step=640 loss=0.8011 dt_sec=0.77 cum_wall_sec=58.2
20:39:03 | INFO    | src.training.finetune | STEP step=650 loss=0.7498 dt_sec=0.74 cum_wall_sec=59.0
20:39:03 | INFO    | src.training.finetune | STEP step=660 loss=0.7543 dt_sec=0.75 cum_wall_sec=59.7
20:39:04 | INFO    | src.training.finetune | STEP step=670 loss=0.7672 dt_sec=0.75 cum_wall_sec=60.5
20:39:05 | INFO    | src.training.finetune | STEP step=680 loss=0.8592 dt_sec=0.74 cum_wall_sec=61.2
20:39:06 | INFO    | src.training.finetune | STEP step=690 loss=0.7996 dt_sec=0.76 cum_wall_sec=62.0
20:39:06 | INFO    | src.training.finetune | STEP step=700 loss=0.7608 dt_sec=0.76 cum_wall_sec=62.7
20:39:07 | INFO    | src.training.finetune | STEP step=710 loss=0.7569 dt_sec=0.75 cum_wall_sec=63.5
20:39:08 | INFO    | src.training.finetune | STEP step=720 loss=0.7650 dt_sec=0.75 cum_wall_sec=64.2
20:39:09 | INFO    | src.training.finetune | STEP step=730 loss=0.7709 dt_sec=0.76 cum_wall_sec=65.0
20:39:09 | INFO    | src.training.finetune | STEP step=740 loss=0.7583 dt_sec=0.75 cum_wall_sec=65.8
20:39:10 | INFO    | src.training.finetune | STEP step=750 loss=0.7475 dt_sec=0.77 cum_wall_sec=66.5
20:39:11 | INFO    | src.training.finetune | STEP step=760 loss=0.7256 dt_sec=0.75 cum_wall_sec=67.3
20:39:12 | INFO    | src.training.finetune | STEP step=770 loss=0.7658 dt_sec=0.76 cum_wall_sec=68.0
20:39:12 | INFO    | src.training.finetune | STEP step=780 loss=0.7899 dt_sec=0.77 cum_wall_sec=68.8
20:39:13 | INFO    | src.training.finetune | STEP step=790 loss=0.8036 dt_sec=0.75 cum_wall_sec=69.6
20:39:14 | INFO    | src.training.finetune | STEP step=800 loss=0.7315 dt_sec=0.75 cum_wall_sec=70.3
20:39:17 | INFO    | src.training.finetune | STEP step=810 loss=0.7541 dt_sec=3.54 cum_wall_sec=73.9
20:39:18 | INFO    | src.training.finetune | STEP step=820 loss=0.7495 dt_sec=0.75 cum_wall_sec=74.6
20:39:19 | INFO    | src.training.finetune | STEP step=830 loss=0.7782 dt_sec=0.76 cum_wall_sec=75.4
20:39:20 | INFO    | src.training.finetune | STEP step=840 loss=0.7351 dt_sec=0.76 cum_wall_sec=76.1
20:39:21 | INFO    | src.training.finetune | STEP step=850 loss=0.7420 dt_sec=0.75 cum_wall_sec=76.9
20:39:21 | INFO    | src.training.finetune | STEP step=860 loss=0.7523 dt_sec=0.75 cum_wall_sec=77.6
20:39:22 | INFO    | src.training.finetune | STEP step=870 loss=0.7542 dt_sec=0.75 cum_wall_sec=78.4
20:39:23 | INFO    | src.training.finetune | STEP step=880 loss=0.7252 dt_sec=0.75 cum_wall_sec=79.1
20:39:24 | INFO    | src.training.finetune | STEP step=890 loss=0.7207 dt_sec=0.75 cum_wall_sec=79.9
20:39:24 | INFO    | src.training.finetune | STEP step=900 loss=0.7524 dt_sec=0.75 cum_wall_sec=80.6
20:39:25 | INFO    | src.training.finetune | STEP step=910 loss=0.7338 dt_sec=0.76 cum_wall_sec=81.4
20:39:26 | INFO    | src.training.finetune | STEP step=920 loss=0.7620 dt_sec=0.76 cum_wall_sec=82.1
20:39:27 | INFO    | src.training.finetune | STEP step=930 loss=0.7703 dt_sec=0.76 cum_wall_sec=82.9
20:39:27 | INFO    | src.training.finetune | STEP step=940 loss=0.7417 dt_sec=0.76 cum_wall_sec=83.7
20:39:28 | INFO    | src.training.finetune | STEP step=950 loss=0.7336 dt_sec=0.74 cum_wall_sec=84.4
