23:51:00 | INFO    | src.training.finetune |   [AZ mərhələsi] 500 nümunə | 2 sinif | init=baza
23:51:00 | INFO    | src.training.finetune | Task head reset: modules=['sequence_summary'] params=2050 (encoder='transformer' untouched)
23:51:00 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-08T23:51:00.247963+00:00 n=500 n_classes=2
23:51:01 | INFO    | src.training.finetune | STEP step=10 loss=5.5181 dt_sec=0.86 cum_wall_sec=0.9
23:51:02 | INFO    | src.training.finetune | STEP step=20 loss=3.8553 dt_sec=0.77 cum_wall_sec=1.6
23:51:03 | INFO    | src.training.finetune | STEP step=30 loss=3.5852 dt_sec=0.78 cum_wall_sec=2.4
23:51:03 | INFO    | src.training.finetune | STEP step=40 loss=2.7819 dt_sec=0.78 cum_wall_sec=3.2
23:51:04 | INFO    | src.training.finetune | STEP step=50 loss=2.2783 dt_sec=0.78 cum_wall_sec=4.0
23:51:05 | INFO    | src.training.finetune | STEP step=60 loss=1.6009 dt_sec=0.78 cum_wall_sec=4.7
23:51:06 | INFO    | src.training.finetune | STEP step=70 loss=1.9659 dt_sec=0.78 cum_wall_sec=5.5
23:51:07 | INFO    | src.training.finetune | STEP step=80 loss=2.0209 dt_sec=0.77 cum_wall_sec=6.3
23:51:07 | INFO    | src.training.finetune | STEP step=90 loss=1.5112 dt_sec=0.78 cum_wall_sec=7.1
23:51:08 | INFO    | src.training.finetune | STEP step=100 loss=2.0046 dt_sec=0.78 cum_wall_sec=7.8
23:51:09 | INFO    | src.training.finetune | STEP step=110 loss=2.0169 dt_sec=0.77 cum_wall_sec=8.6
23:51:10 | INFO    | src.training.finetune | STEP step=120 loss=1.5506 dt_sec=0.78 cum_wall_sec=9.4
23:51:10 | INFO    | src.training.finetune | STEP step=130 loss=1.7294 dt_sec=0.77 cum_wall_sec=10.2
23:51:11 | INFO    | src.training.finetune | STEP step=140 loss=1.3818 dt_sec=0.78 cum_wall_sec=10.9
23:51:12 | INFO    | src.training.finetune | STEP step=150 loss=1.5996 dt_sec=0.77 cum_wall_sec=11.7
23:51:13 | INFO    | src.training.finetune | STEP step=160 loss=2.0924 dt_sec=0.77 cum_wall_sec=12.5
23:51:13 | INFO    | src.training.finetune | STEP step=170 loss=1.6020 dt_sec=0.78 cum_wall_sec=13.3
23:51:14 | INFO    | src.training.finetune | STEP step=180 loss=1.1301 dt_sec=0.78 cum_wall_sec=14.0
23:51:15 | INFO    | src.training.finetune | STEP step=190 loss=1.2042 dt_sec=0.77 cum_wall_sec=14.8
23:51:16 | INFO    | src.training.finetune | STEP step=200 loss=1.5488 dt_sec=0.84 cum_wall_sec=15.6
23:51:19 | INFO    | src.training.finetune | STEP step=210 loss=1.1826 dt_sec=3.07 cum_wall_sec=18.7
23:51:20 | INFO    | src.training.finetune | STEP step=220 loss=1.4697 dt_sec=0.78 cum_wall_sec=19.5
23:51:21 | INFO    | src.training.finetune | STEP step=230 loss=1.7369 dt_sec=0.77 cum_wall_sec=20.3
23:51:21 | INFO    | src.training.finetune | STEP step=240 loss=1.2886 dt_sec=0.78 cum_wall_sec=21.0
23:51:22 | INFO    | src.training.finetune | STEP step=250 loss=1.1964 dt_sec=0.78 cum_wall_sec=21.8
23:51:23 | INFO    | src.training.finetune | STEP step=260 loss=1.0395 dt_sec=0.76 cum_wall_sec=22.6
