02:50:20 | INFO    | src.training.finetune |   [AZ mərhələsi] 500 nümunə | 2 sinif | init=baza
02:50:20 | INFO    | src.training.finetune | Task head reset: modules=['classifier'] params=592130 (encoder='roberta' untouched)
02:50:20 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-09T02:50:20.568882+00:00 n=500 n_classes=2
02:50:21 | INFO    | src.training.finetune | STEP step=10 loss=0.7549 dt_sec=0.69 cum_wall_sec=0.7
02:50:22 | INFO    | src.training.finetune | STEP step=20 loss=0.7257 dt_sec=0.64 cum_wall_sec=1.3
02:50:22 | INFO    | src.training.finetune | STEP step=30 loss=0.7495 dt_sec=0.64 cum_wall_sec=2.0
02:50:23 | INFO    | src.training.finetune | STEP step=40 loss=0.6922 dt_sec=0.64 cum_wall_sec=2.6
02:50:24 | INFO    | src.training.finetune | STEP step=50 loss=0.7390 dt_sec=0.64 cum_wall_sec=3.3
02:50:24 | INFO    | src.training.finetune | STEP step=60 loss=0.6779 dt_sec=0.64 cum_wall_sec=3.9
02:50:25 | INFO    | src.training.finetune | STEP step=70 loss=0.7221 dt_sec=0.64 cum_wall_sec=4.5
02:50:26 | INFO    | src.training.finetune | STEP step=80 loss=0.7040 dt_sec=0.64 cum_wall_sec=5.2
02:50:26 | INFO    | src.training.finetune | STEP step=90 loss=0.6923 dt_sec=0.65 cum_wall_sec=5.8
02:50:27 | INFO    | src.training.finetune | STEP step=100 loss=0.7216 dt_sec=0.64 cum_wall_sec=6.5
02:50:28 | INFO    | src.training.finetune | STEP step=110 loss=0.6927 dt_sec=0.64 cum_wall_sec=7.1
02:50:28 | INFO    | src.training.finetune | STEP step=120 loss=0.6879 dt_sec=0.64 cum_wall_sec=7.8
02:50:29 | INFO    | src.training.finetune | STEP step=130 loss=0.6765 dt_sec=0.62 cum_wall_sec=8.4
02:50:29 | INFO    | src.training.finetune | STEP step=140 loss=0.6594 dt_sec=0.64 cum_wall_sec=9.0
02:50:30 | INFO    | src.training.finetune | STEP step=150 loss=0.6990 dt_sec=0.64 cum_wall_sec=9.7
02:50:31 | INFO    | src.training.finetune | STEP step=160 loss=0.6684 dt_sec=0.64 cum_wall_sec=10.3
02:50:31 | INFO    | src.training.finetune | STEP step=170 loss=0.6548 dt_sec=0.65 cum_wall_sec=11.0
02:50:32 | INFO    | src.training.finetune | STEP step=180 loss=0.6212 dt_sec=0.64 cum_wall_sec=11.6
