22:12:26 | INFO    | src.training.finetune |   [AZ mərhələsi] 2000 nümunə | 2 sinif | init=baza
22:12:26 | INFO    | src.training.finetune | Task head reset: modules=['classifier'] params=592130 (encoder='roberta' untouched)
22:12:26 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-08T22:12:26.372468+00:00 n=2000 n_classes=2
22:12:27 | INFO    | src.training.finetune | STEP step=10 loss=0.7182 dt_sec=0.69 cum_wall_sec=0.7
22:12:28 | INFO    | src.training.finetune | STEP step=20 loss=0.7104 dt_sec=0.64 cum_wall_sec=1.3
22:12:28 | INFO    | src.training.finetune | STEP step=30 loss=0.7182 dt_sec=0.63 cum_wall_sec=2.0
22:12:29 | INFO    | src.training.finetune | STEP step=40 loss=0.7003 dt_sec=0.65 cum_wall_sec=2.6
22:12:30 | INFO    | src.training.finetune | STEP step=50 loss=0.6940 dt_sec=0.64 cum_wall_sec=3.3
22:12:30 | INFO    | src.training.finetune | STEP step=60 loss=0.6916 dt_sec=0.64 cum_wall_sec=3.9
22:12:31 | INFO    | src.training.finetune | STEP step=70 loss=0.6944 dt_sec=0.63 cum_wall_sec=4.5
22:12:32 | INFO    | src.training.finetune | STEP step=80 loss=0.6885 dt_sec=0.63 cum_wall_sec=5.2
22:12:32 | INFO    | src.training.finetune | STEP step=90 loss=0.6779 dt_sec=0.64 cum_wall_sec=5.8
22:12:33 | INFO    | src.training.finetune | STEP step=100 loss=0.6411 dt_sec=0.66 cum_wall_sec=6.5
22:12:34 | INFO    | src.training.finetune | STEP step=110 loss=0.6708 dt_sec=0.64 cum_wall_sec=7.1
22:12:34 | INFO    | src.training.finetune | STEP step=120 loss=0.6477 dt_sec=0.66 cum_wall_sec=7.8
22:12:35 | INFO    | src.training.finetune | STEP step=130 loss=0.6553 dt_sec=0.66 cum_wall_sec=8.4
22:12:36 | INFO    | src.training.finetune | STEP step=140 loss=0.6518 dt_sec=0.65 cum_wall_sec=9.1
22:12:36 | INFO    | src.training.finetune | STEP step=150 loss=0.6269 dt_sec=0.66 cum_wall_sec=9.7
22:12:37 | INFO    | src.training.finetune | STEP step=160 loss=0.6643 dt_sec=0.67 cum_wall_sec=10.4
22:12:38 | INFO    | src.training.finetune | STEP step=170 loss=0.6492 dt_sec=0.66 cum_wall_sec=11.1
22:12:38 | INFO    | src.training.finetune | STEP step=180 loss=0.6082 dt_sec=0.67 cum_wall_sec=11.7
22:12:39 | INFO    | src.training.finetune | STEP step=190 loss=0.6390 dt_sec=0.66 cum_wall_sec=12.4
22:12:40 | INFO    | src.training.finetune | STEP step=200 loss=0.5871 dt_sec=0.66 cum_wall_sec=13.1
22:12:42 | INFO    | src.training.finetune | STEP step=210 loss=0.5622 dt_sec=2.42 cum_wall_sec=15.5
22:12:43 | INFO    | src.training.finetune | STEP step=220 loss=0.7006 dt_sec=0.66 cum_wall_sec=16.1
22:12:43 | INFO    | src.training.finetune | STEP step=230 loss=0.6014 dt_sec=0.66 cum_wall_sec=16.8
22:12:44 | INFO    | src.training.finetune | STEP step=240 loss=0.6458 dt_sec=0.67 cum_wall_sec=17.5
22:12:45 | INFO    | src.training.finetune | STEP step=250 loss=0.5861 dt_sec=0.66 cum_wall_sec=18.1
22:12:45 | INFO    | src.training.finetune | STEP step=260 loss=0.5764 dt_sec=0.66 cum_wall_sec=18.8
22:12:46 | INFO    | src.training.finetune | STEP step=270 loss=0.5548 dt_sec=0.64 cum_wall_sec=19.4
22:12:47 | INFO    | src.training.finetune | STEP step=280 loss=0.5525 dt_sec=0.66 cum_wall_sec=20.1
22:12:47 | INFO    | src.training.finetune | STEP step=290 loss=0.5904 dt_sec=0.67 cum_wall_sec=20.8
22:12:48 | INFO    | src.training.finetune | STEP step=300 loss=0.5362 dt_sec=0.67 cum_wall_sec=21.4
22:12:49 | INFO    | src.training.finetune | STEP step=310 loss=0.5564 dt_sec=0.67 cum_wall_sec=22.1
22:12:49 | INFO    | src.training.finetune | STEP step=320 loss=0.5648 dt_sec=0.65 cum_wall_sec=22.7
22:12:50 | INFO    | src.training.finetune | STEP step=330 loss=0.5135 dt_sec=0.67 cum_wall_sec=23.4
22:12:51 | INFO    | src.training.finetune | STEP step=340 loss=0.4933 dt_sec=0.66 cum_wall_sec=24.1
22:12:51 | INFO    | src.training.finetune | STEP step=350 loss=0.4922 dt_sec=0.66 cum_wall_sec=24.7
22:12:52 | INFO    | src.training.finetune | STEP step=360 loss=0.5357 dt_sec=0.67 cum_wall_sec=25.4
22:12:53 | INFO    | src.training.finetune | STEP step=370 loss=0.4839 dt_sec=0.66 cum_wall_sec=26.1
22:12:53 | INFO    | src.training.finetune | STEP step=380 loss=0.4728 dt_sec=0.66 cum_wall_sec=26.7
22:12:54 | INFO    | src.training.finetune | STEP step=390 loss=0.4906 dt_sec=0.65 cum_wall_sec=27.4
22:12:55 | INFO    | src.training.finetune | STEP step=400 loss=0.4562 dt_sec=0.67 cum_wall_sec=28.0
22:12:57 | INFO    | src.training.finetune | STEP step=410 loss=0.4259 dt_sec=2.55 cum_wall_sec=30.6
22:12:58 | INFO    | src.training.finetune | STEP step=420 loss=0.4794 dt_sec=0.67 cum_wall_sec=31.3
22:12:58 | INFO    | src.training.finetune | STEP step=430 loss=0.4659 dt_sec=0.66 cum_wall_sec=31.9
22:12:59 | INFO    | src.training.finetune | STEP step=440 loss=0.4415 dt_sec=0.66 cum_wall_sec=32.6
22:13:00 | INFO    | src.training.finetune | STEP step=450 loss=0.3497 dt_sec=0.67 cum_wall_sec=33.2
22:13:00 | INFO    | src.training.finetune | STEP step=460 loss=0.4628 dt_sec=0.65 cum_wall_sec=33.9
22:13:01 | INFO    | src.training.finetune | STEP step=470 loss=0.4762 dt_sec=0.65 cum_wall_sec=34.5
22:13:02 | INFO    | src.training.finetune | STEP step=480 loss=0.4094 dt_sec=0.66 cum_wall_sec=35.2
22:13:02 | INFO    | src.training.finetune | STEP step=490 loss=0.3222 dt_sec=0.67 cum_wall_sec=35.9
22:13:03 | INFO    | src.training.finetune | STEP step=500 loss=0.4137 dt_sec=0.67 cum_wall_sec=36.5
22:13:04 | INFO    | src.training.finetune | STEP step=510 loss=0.3674 dt_sec=0.66 cum_wall_sec=37.2
22:13:04 | INFO    | src.training.finetune | STEP step=520 loss=0.3982 dt_sec=0.66 cum_wall_sec=37.9
22:13:05 | INFO    | src.training.finetune | STEP step=530 loss=0.5009 dt_sec=0.66 cum_wall_sec=38.5
22:13:06 | INFO    | src.training.finetune | STEP step=540 loss=0.3562 dt_sec=0.66 cum_wall_sec=39.2
22:13:06 | INFO    | src.training.finetune | STEP step=550 loss=0.2953 dt_sec=0.66 cum_wall_sec=39.8
22:13:07 | INFO    | src.training.finetune | STEP step=560 loss=0.4409 dt_sec=0.66 cum_wall_sec=40.5
22:13:08 | INFO    | src.training.finetune | STEP step=570 loss=0.3148 dt_sec=0.65 cum_wall_sec=41.2
22:13:08 | INFO    | src.training.finetune | STEP step=580 loss=0.2675 dt_sec=0.66 cum_wall_sec=41.8
