01:57:59 | INFO    | src.training.finetune |   [AZ mərhələsi] 20914 nümunə | 2 sinif | init=baza
01:58:00 | INFO    | src.training.finetune | Task head reset: modules=['sequence_summary'] params=2050 (encoder='transformer' untouched)
01:58:00 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-09T01:58:00.044600+00:00 n=20914 n_classes=2
01:58:02 | INFO    | src.training.finetune | STEP step=10 loss=2.9412 dt_sec=0.86 cum_wall_sec=0.9
01:58:02 | INFO    | src.training.finetune | STEP step=20 loss=3.0724 dt_sec=0.75 cum_wall_sec=1.6
01:58:03 | INFO    | src.training.finetune | STEP step=30 loss=2.5563 dt_sec=0.76 cum_wall_sec=2.4
01:58:04 | INFO    | src.training.finetune | STEP step=40 loss=3.1127 dt_sec=0.76 cum_wall_sec=3.1
01:58:05 | INFO    | src.training.finetune | STEP step=50 loss=2.4624 dt_sec=0.75 cum_wall_sec=3.9
01:58:05 | INFO    | src.training.finetune | STEP step=60 loss=2.1266 dt_sec=0.74 cum_wall_sec=4.6
01:58:06 | INFO    | src.training.finetune | STEP step=70 loss=2.2368 dt_sec=0.74 cum_wall_sec=5.4
01:58:07 | INFO    | src.training.finetune | STEP step=80 loss=1.7253 dt_sec=0.74 cum_wall_sec=6.1
01:58:08 | INFO    | src.training.finetune | STEP step=90 loss=1.6980 dt_sec=0.75 cum_wall_sec=6.9
01:58:08 | INFO    | src.training.finetune | STEP step=100 loss=1.3607 dt_sec=0.76 cum_wall_sec=7.6
01:58:09 | INFO    | src.training.finetune | STEP step=110 loss=1.4370 dt_sec=0.76 cum_wall_sec=8.4
01:58:10 | INFO    | src.training.finetune | STEP step=120 loss=1.7819 dt_sec=0.74 cum_wall_sec=9.1
01:58:11 | INFO    | src.training.finetune | STEP step=130 loss=1.6929 dt_sec=0.76 cum_wall_sec=9.9
01:58:11 | INFO    | src.training.finetune | STEP step=140 loss=1.9344 dt_sec=0.76 cum_wall_sec=10.7
01:58:12 | INFO    | src.training.finetune | STEP step=150 loss=1.6523 dt_sec=0.74 cum_wall_sec=11.4
01:58:13 | INFO    | src.training.finetune | STEP step=160 loss=1.5172 dt_sec=0.75 cum_wall_sec=12.1
01:58:14 | INFO    | src.training.finetune | STEP step=170 loss=1.3483 dt_sec=0.74 cum_wall_sec=12.9
01:58:14 | INFO    | src.training.finetune | STEP step=180 loss=2.1554 dt_sec=0.77 cum_wall_sec=13.7
01:58:15 | INFO    | src.training.finetune | STEP step=190 loss=1.4287 dt_sec=0.76 cum_wall_sec=14.4
01:58:16 | INFO    | src.training.finetune | STEP step=200 loss=1.2427 dt_sec=0.77 cum_wall_sec=15.2
01:58:19 | INFO    | src.training.finetune | STEP step=210 loss=1.1487 dt_sec=3.13 cum_wall_sec=18.3
01:58:20 | INFO    | src.training.finetune | STEP step=220 loss=1.0586 dt_sec=0.75 cum_wall_sec=19.1
01:58:21 | INFO    | src.training.finetune | STEP step=230 loss=1.1288 dt_sec=0.75 cum_wall_sec=19.8
01:58:21 | INFO    | src.training.finetune | STEP step=240 loss=0.9687 dt_sec=0.77 cum_wall_sec=20.6
01:58:22 | INFO    | src.training.finetune | STEP step=250 loss=1.0950 dt_sec=0.75 cum_wall_sec=21.3
01:58:23 | INFO    | src.training.finetune | STEP step=260 loss=1.0316 dt_sec=0.75 cum_wall_sec=22.1
01:58:24 | INFO    | src.training.finetune | STEP step=270 loss=1.0287 dt_sec=0.75 cum_wall_sec=22.8
01:58:24 | INFO    | src.training.finetune | STEP step=280 loss=0.8736 dt_sec=0.76 cum_wall_sec=23.6
01:58:25 | INFO    | src.training.finetune | STEP step=290 loss=0.8334 dt_sec=0.77 cum_wall_sec=24.4
01:58:26 | INFO    | src.training.finetune | STEP step=300 loss=0.8693 dt_sec=0.77 cum_wall_sec=25.2
01:58:27 | INFO    | src.training.finetune | STEP step=310 loss=1.0873 dt_sec=0.77 cum_wall_sec=25.9
01:58:27 | INFO    | src.training.finetune | STEP step=320 loss=0.8943 dt_sec=0.77 cum_wall_sec=26.7
01:58:28 | INFO    | src.training.finetune | STEP step=330 loss=0.8356 dt_sec=0.77 cum_wall_sec=27.5
01:58:29 | INFO    | src.training.finetune | STEP step=340 loss=0.8136 dt_sec=0.78 cum_wall_sec=28.2
01:58:30 | INFO    | src.training.finetune | STEP step=350 loss=0.8633 dt_sec=0.80 cum_wall_sec=29.0
01:58:31 | INFO    | src.training.finetune | STEP step=360 loss=0.8207 dt_sec=0.78 cum_wall_sec=29.8
01:58:31 | INFO    | src.training.finetune | STEP step=370 loss=0.8245 dt_sec=0.78 cum_wall_sec=30.6
01:58:32 | INFO    | src.training.finetune | STEP step=380 loss=0.8523 dt_sec=0.77 cum_wall_sec=31.4
01:58:33 | INFO    | src.training.finetune | STEP step=390 loss=0.8216 dt_sec=0.78 cum_wall_sec=32.2
01:58:34 | INFO    | src.training.finetune | STEP step=400 loss=0.9046 dt_sec=0.77 cum_wall_sec=32.9
01:58:37 | INFO    | src.training.finetune | STEP step=410 loss=0.8230 dt_sec=3.26 cum_wall_sec=36.2
