02:36:34 | INFO    | src.training.finetune |   [AZ mərhələsi] 500 nümunə | 2 sinif | init=baza
02:36:34 | INFO    | src.training.finetune | Task head reset: modules=['classifier'] params=592130 (encoder='roberta' untouched)
02:36:34 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-09T02:36:34.775389+00:00 n=500 n_classes=2
02:36:35 | INFO    | src.training.finetune | STEP step=10 loss=0.7550 dt_sec=0.73 cum_wall_sec=0.7
02:36:36 | INFO    | src.training.finetune | STEP step=20 loss=0.7257 dt_sec=0.67 cum_wall_sec=1.4
02:36:37 | INFO    | src.training.finetune | STEP step=30 loss=0.7480 dt_sec=0.68 cum_wall_sec=2.1
02:36:37 | INFO    | src.training.finetune | STEP step=40 loss=0.6956 dt_sec=0.68 cum_wall_sec=2.7
02:36:38 | INFO    | src.training.finetune | STEP step=50 loss=0.7386 dt_sec=0.68 cum_wall_sec=3.4
02:36:39 | INFO    | src.training.finetune | STEP step=60 loss=0.6851 dt_sec=0.67 cum_wall_sec=4.1
02:36:39 | INFO    | src.training.finetune | STEP step=70 loss=0.6989 dt_sec=0.67 cum_wall_sec=4.8
02:36:40 | INFO    | src.training.finetune | STEP step=80 loss=0.7033 dt_sec=0.67 cum_wall_sec=5.4
02:36:41 | INFO    | src.training.finetune | STEP step=90 loss=0.6855 dt_sec=0.68 cum_wall_sec=6.1
02:36:42 | INFO    | src.training.finetune | STEP step=100 loss=0.6839 dt_sec=0.67 cum_wall_sec=6.8
02:36:42 | INFO    | src.training.finetune | STEP step=110 loss=0.6870 dt_sec=0.68 cum_wall_sec=7.5
02:36:43 | INFO    | src.training.finetune | STEP step=120 loss=0.7110 dt_sec=0.67 cum_wall_sec=8.1
02:36:44 | INFO    | src.training.finetune | STEP step=130 loss=0.6666 dt_sec=0.66 cum_wall_sec=8.8
02:36:44 | INFO    | src.training.finetune | STEP step=140 loss=0.7332 dt_sec=0.67 cum_wall_sec=9.5
02:36:45 | INFO    | src.training.finetune | STEP step=150 loss=0.6937 dt_sec=0.68 cum_wall_sec=10.2
02:36:46 | INFO    | src.training.finetune | STEP step=160 loss=0.7036 dt_sec=0.67 cum_wall_sec=10.8
02:36:46 | INFO    | src.training.finetune | STEP step=170 loss=0.6873 dt_sec=0.68 cum_wall_sec=11.5
02:36:47 | INFO    | src.training.finetune | STEP step=180 loss=0.6663 dt_sec=0.67 cum_wall_sec=12.2
02:36:48 | INFO    | src.training.finetune | STEP step=190 loss=0.7098 dt_sec=0.67 cum_wall_sec=12.9
02:36:50 | INFO    | src.training.finetune | STEP step=200 loss=0.6749 dt_sec=2.34 cum_wall_sec=15.2
02:36:54 | INFO    | src.training.finetune | STEP step=210 loss=0.6196 dt_sec=3.91 cum_wall_sec=19.1
02:36:54 | INFO    | src.training.finetune | STEP step=220 loss=0.6259 dt_sec=0.63 cum_wall_sec=19.7
02:36:55 | INFO    | src.training.finetune | STEP step=230 loss=0.5754 dt_sec=0.63 cum_wall_sec=20.4
02:36:56 | INFO    | src.training.finetune | STEP step=240 loss=0.6155 dt_sec=0.63 cum_wall_sec=21.0
02:36:56 | INFO    | src.training.finetune | STEP step=250 loss=0.5859 dt_sec=0.64 cum_wall_sec=21.7
02:36:57 | INFO    | src.training.finetune | STEP step=260 loss=0.5566 dt_sec=0.63 cum_wall_sec=22.3
02:36:58 | INFO    | src.training.finetune | STEP step=270 loss=0.5097 dt_sec=0.64 cum_wall_sec=22.9
02:36:58 | INFO    | src.training.finetune | STEP step=280 loss=0.4088 dt_sec=0.63 cum_wall_sec=23.6
02:36:59 | INFO    | src.training.finetune | STEP step=290 loss=0.3993 dt_sec=0.65 cum_wall_sec=24.2
02:37:00 | INFO    | src.training.finetune | STEP step=300 loss=0.3993 dt_sec=0.64 cum_wall_sec=24.8
02:37:00 | INFO    | src.training.finetune | STEP step=310 loss=0.3735 dt_sec=0.63 cum_wall_sec=25.5
02:37:01 | INFO    | src.training.finetune | STEP step=320 loss=0.4717 dt_sec=0.63 cum_wall_sec=26.1
02:37:01 | INFO    | src.training.finetune | STEP step=330 loss=0.3468 dt_sec=0.64 cum_wall_sec=26.7
02:37:04 | INFO    | src.training.finetune | STEP step=340 loss=0.3579 dt_sec=2.07 cum_wall_sec=28.8
02:37:04 | INFO    | src.training.finetune | STEP step=350 loss=0.2441 dt_sec=0.64 cum_wall_sec=29.4
02:37:05 | INFO    | src.training.finetune | STEP step=360 loss=0.2104 dt_sec=0.63 cum_wall_sec=30.1
02:37:05 | INFO    | src.training.finetune | STEP step=370 loss=0.2374 dt_sec=0.63 cum_wall_sec=30.7
02:37:06 | INFO    | src.training.finetune | STEP step=380 loss=0.3322 dt_sec=0.64 cum_wall_sec=31.3
02:37:07 | INFO    | src.training.finetune | STEP step=390 loss=0.3418 dt_sec=0.63 cum_wall_sec=32.0
02:37:09 | INFO    | src.training.finetune | STEP step=400 loss=0.2110 dt_sec=2.08 cum_wall_sec=34.0
02:37:11 | INFO    | src.training.finetune | STEP step=410 loss=0.1690 dt_sec=2.51 cum_wall_sec=36.6
02:37:12 | INFO    | src.training.finetune | STEP step=420 loss=0.0963 dt_sec=0.65 cum_wall_sec=37.2
02:37:13 | INFO    | src.training.finetune | STEP step=430 loss=0.1364 dt_sec=0.64 cum_wall_sec=37.9
02:37:13 | INFO    | src.training.finetune | STEP step=440 loss=0.0838 dt_sec=0.64 cum_wall_sec=38.5
02:37:14 | INFO    | src.training.finetune | STEP step=450 loss=0.0943 dt_sec=0.62 cum_wall_sec=39.1
02:37:14 | INFO    | src.training.finetune | STEP step=460 loss=0.0994 dt_sec=0.63 cum_wall_sec=39.7
