21:32:58 | INFO    | src.training.finetune |   [AZ mərhələsi] 2000 nümunə | 2 sinif | init=baza
21:32:58 | INFO    | src.training.finetune | Task head reset: modules=['classifier'] params=592130 (encoder='roberta' untouched)
21:32:58 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-08T21:32:58.503130+00:00 n=2000 n_classes=2
21:33:04 | INFO    | src.training.finetune | STEP step=10 loss=0.6979 dt_sec=5.58 cum_wall_sec=5.6
21:33:09 | INFO    | src.training.finetune | STEP step=20 loss=0.6943 dt_sec=5.18 cum_wall_sec=10.8
21:33:15 | INFO    | src.training.finetune | STEP step=30 loss=0.6991 dt_sec=5.43 cum_wall_sec=16.2
21:33:20 | INFO    | src.training.finetune | STEP step=40 loss=0.7002 dt_sec=5.40 cum_wall_sec=21.6
21:33:22 | INFO    | src.training.finetune | STEP step=50 loss=0.6971 dt_sec=2.31 cum_wall_sec=23.9
21:33:31 | INFO    | src.training.finetune | STEP step=60 loss=0.6949 dt_sec=8.19 cum_wall_sec=32.1
21:33:33 | INFO    | src.training.finetune | STEP step=70 loss=0.6888 dt_sec=2.05 cum_wall_sec=34.1
21:33:37 | INFO    | src.training.finetune | STEP step=80 loss=0.6889 dt_sec=3.91 cum_wall_sec=38.0
21:33:39 | INFO    | src.training.finetune | STEP step=90 loss=0.6724 dt_sec=2.05 cum_wall_sec=40.1
21:33:41 | INFO    | src.training.finetune | STEP step=100 loss=0.6603 dt_sec=2.08 cum_wall_sec=42.2
21:33:41 | INFO    | src.training.finetune | STEP step=110 loss=0.5892 dt_sec=0.67 cum_wall_sec=42.8
21:33:47 | INFO    | src.training.finetune | STEP step=120 loss=0.6208 dt_sec=5.32 cum_wall_sec=48.2
21:33:49 | INFO    | src.training.finetune | STEP step=130 loss=0.5646 dt_sec=1.96 cum_wall_sec=50.1
21:33:49 | INFO    | src.training.finetune | STEP step=140 loss=0.5041 dt_sec=0.66 cum_wall_sec=50.8
21:33:50 | INFO    | src.training.finetune | STEP step=150 loss=0.5530 dt_sec=0.65 cum_wall_sec=51.4
21:33:51 | INFO    | src.training.finetune | STEP step=160 loss=0.4975 dt_sec=0.67 cum_wall_sec=52.1
21:33:51 | INFO    | src.training.finetune | STEP step=170 loss=0.5188 dt_sec=0.65 cum_wall_sec=52.8
21:33:54 | INFO    | src.training.finetune | STEP step=180 loss=0.5166 dt_sec=2.29 cum_wall_sec=55.0
21:33:56 | INFO    | src.training.finetune | STEP step=190 loss=0.4601 dt_sec=2.28 cum_wall_sec=57.3
21:33:57 | INFO    | src.training.finetune | STEP step=200 loss=0.5190 dt_sec=0.66 cum_wall_sec=58.0
21:34:01 | INFO    | src.training.finetune | STEP step=210 loss=0.5147 dt_sec=4.62 cum_wall_sec=62.6
21:34:02 | INFO    | src.training.finetune | STEP step=220 loss=0.4910 dt_sec=0.66 cum_wall_sec=63.3
21:34:03 | INFO    | src.training.finetune | STEP step=230 loss=0.4994 dt_sec=0.67 cum_wall_sec=63.9
21:34:03 | INFO    | src.training.finetune | STEP step=240 loss=0.4096 dt_sec=0.66 cum_wall_sec=64.6
21:34:04 | INFO    | src.training.finetune | STEP step=250 loss=0.3925 dt_sec=0.67 cum_wall_sec=65.3
21:34:06 | INFO    | src.training.finetune | STEP step=260 loss=0.3631 dt_sec=2.04 cum_wall_sec=67.3
21:34:07 | INFO    | src.training.finetune | STEP step=270 loss=0.4121 dt_sec=0.67 cum_wall_sec=68.0
21:34:07 | INFO    | src.training.finetune | STEP step=280 loss=0.3772 dt_sec=0.66 cum_wall_sec=68.6
21:34:08 | INFO    | src.training.finetune | STEP step=290 loss=0.3969 dt_sec=0.65 cum_wall_sec=69.3
21:34:09 | INFO    | src.training.finetune | STEP step=300 loss=0.3387 dt_sec=0.66 cum_wall_sec=69.9
21:34:11 | INFO    | src.training.finetune | STEP step=310 loss=0.3573 dt_sec=2.27 cum_wall_sec=72.2
21:34:13 | INFO    | src.training.finetune | STEP step=320 loss=0.3473 dt_sec=2.29 cum_wall_sec=74.5
21:34:14 | INFO    | src.training.finetune | STEP step=330 loss=0.3201 dt_sec=0.65 cum_wall_sec=75.1
21:34:14 | INFO    | src.training.finetune | STEP step=340 loss=0.3060 dt_sec=0.66 cum_wall_sec=75.8
21:34:15 | INFO    | src.training.finetune | STEP step=350 loss=0.3047 dt_sec=0.66 cum_wall_sec=76.5
