20:23:01 | INFO    | src.training.finetune |   [AZ mərhələsi] 2000 nümunə | 2 sinif | init=baza
20:23:01 | INFO    | src.training.finetune | Task head reset: modules=['sequence_summary'] params=2050 (encoder='transformer' untouched)
20:23:01 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-08T20:23:01.500280+00:00 n=2000 n_classes=2
20:23:03 | INFO    | src.training.finetune | STEP step=10 loss=4.9303 dt_sec=0.82 cum_wall_sec=0.8
20:23:03 | INFO    | src.training.finetune | STEP step=20 loss=3.9012 dt_sec=0.74 cum_wall_sec=1.6
20:23:04 | INFO    | src.training.finetune | STEP step=30 loss=3.4940 dt_sec=0.74 cum_wall_sec=2.3
20:23:05 | INFO    | src.training.finetune | STEP step=40 loss=2.1546 dt_sec=0.73 cum_wall_sec=3.0
20:23:05 | INFO    | src.training.finetune | STEP step=50 loss=1.9375 dt_sec=0.75 cum_wall_sec=3.8
20:23:06 | INFO    | src.training.finetune | STEP step=60 loss=1.5891 dt_sec=0.76 cum_wall_sec=4.5
20:23:07 | INFO    | src.training.finetune | STEP step=70 loss=2.2889 dt_sec=0.73 cum_wall_sec=5.3
20:23:08 | INFO    | src.training.finetune | STEP step=80 loss=1.8149 dt_sec=0.75 cum_wall_sec=6.0
20:23:08 | INFO    | src.training.finetune | STEP step=90 loss=1.6429 dt_sec=0.75 cum_wall_sec=6.8
20:23:09 | INFO    | src.training.finetune | STEP step=100 loss=1.3083 dt_sec=0.75 cum_wall_sec=7.5
20:23:10 | INFO    | src.training.finetune | STEP step=110 loss=1.4186 dt_sec=0.76 cum_wall_sec=8.3
20:23:11 | INFO    | src.training.finetune | STEP step=120 loss=2.1332 dt_sec=0.73 cum_wall_sec=9.0
20:23:11 | INFO    | src.training.finetune | STEP step=130 loss=2.3770 dt_sec=0.75 cum_wall_sec=9.8
20:23:12 | INFO    | src.training.finetune | STEP step=140 loss=1.4175 dt_sec=0.76 cum_wall_sec=10.5
