02:55:36 | INFO    | src.training.finetune |   [AZ mərhələsi] 500 nümunə | 2 sinif | init=baza
02:55:36 | INFO    | src.training.finetune | Task head reset: modules=['classifier'] params=592130 (encoder='roberta' untouched)
02:55:36 | INFO    | src.training.finetune | STAGE=azerbaijani start ts=2026-09-09T02:55:36.729977+00:00 n=500 n_classes=2
02:55:37 | INFO    | src.training.finetune | STEP step=10 loss=0.6942 dt_sec=0.72 cum_wall_sec=0.7
02:55:38 | INFO    | src.training.finetune | STEP step=20 loss=0.6979 dt_sec=0.66 cum_wall_sec=1.4
02:55:39 | INFO    | src.training.finetune | STEP step=30 loss=0.6975 dt_sec=0.66 cum_wall_sec=2.0
02:55:39 | INFO    | src.training.finetune | STEP step=40 loss=0.6908 dt_sec=0.67 cum_wall_sec=2.7
02:55:40 | INFO    | src.training.finetune | STEP step=50 loss=0.6937 dt_sec=0.67 cum_wall_sec=3.4
02:55:41 | INFO    | src.training.finetune | STEP step=60 loss=0.6930 dt_sec=0.66 cum_wall_sec=4.0
02:55:41 | INFO    | src.training.finetune | STEP step=70 loss=0.6896 dt_sec=0.66 cum_wall_sec=4.7
02:55:42 | INFO    | src.training.finetune | STEP step=80 loss=0.6834 dt_sec=0.65 cum_wall_sec=5.3
02:55:43 | INFO    | src.training.finetune | STEP step=90 loss=0.6632 dt_sec=0.66 cum_wall_sec=6.0
02:55:43 | INFO    | src.training.finetune | STEP step=100 loss=0.6802 dt_sec=0.66 cum_wall_sec=6.7
02:55:44 | INFO    | src.training.finetune | STEP step=110 loss=0.6693 dt_sec=0.67 cum_wall_sec=7.3
02:55:45 | INFO    | src.training.finetune | STEP step=120 loss=0.6393 dt_sec=0.67 cum_wall_sec=8.0
02:55:45 | INFO    | src.training.finetune | STEP step=130 loss=0.6274 dt_sec=0.66 cum_wall_sec=8.7
02:55:46 | INFO    | src.training.finetune | STEP step=140 loss=0.6245 dt_sec=0.67 cum_wall_sec=9.3
02:55:47 | INFO    | src.training.finetune | STEP step=150 loss=0.6023 dt_sec=0.67 cum_wall_sec=10.0
02:55:47 | INFO    | src.training.finetune | STEP step=160 loss=0.6370 dt_sec=0.68 cum_wall_sec=10.7
02:55:48 | INFO    | src.training.finetune | STEP step=170 loss=0.5657 dt_sec=0.67 cum_wall_sec=11.4
02:55:49 | INFO    | src.training.finetune | STEP step=180 loss=0.6340 dt_sec=0.66 cum_wall_sec=12.0
02:55:49 | INFO    | src.training.finetune | STEP step=190 loss=0.5217 dt_sec=0.66 cum_wall_sec=12.7
02:55:50 | INFO    | src.training.finetune | STEP step=200 loss=0.5101 dt_sec=0.65 cum_wall_sec=13.3
02:55:52 | INFO    | src.training.finetune | STEP step=210 loss=0.4239 dt_sec=2.46 cum_wall_sec=15.8
02:55:53 | INFO    | src.training.finetune | STEP step=220 loss=0.5044 dt_sec=0.67 cum_wall_sec=16.4
02:55:54 | INFO    | src.training.finetune | STEP step=230 loss=0.5694 dt_sec=0.65 cum_wall_sec=17.1
02:55:54 | INFO    | src.training.finetune | STEP step=240 loss=0.4787 dt_sec=0.67 cum_wall_sec=17.8
02:55:55 | INFO    | src.training.finetune | STEP step=250 loss=0.4218 dt_sec=0.67 cum_wall_sec=18.4
02:55:56 | INFO    | src.training.finetune | STEP step=260 loss=0.3743 dt_sec=0.65 cum_wall_sec=19.1
02:55:56 | INFO    | src.training.finetune | STEP step=270 loss=0.3303 dt_sec=0.66 cum_wall_sec=19.7
02:55:57 | INFO    | src.training.finetune | STEP step=280 loss=0.3693 dt_sec=0.66 cum_wall_sec=20.4
02:55:58 | INFO    | src.training.finetune | STEP step=290 loss=0.2999 dt_sec=0.67 cum_wall_sec=21.1
02:55:58 | INFO    | src.training.finetune | STEP step=300 loss=0.2751 dt_sec=0.66 cum_wall_sec=21.7
02:55:59 | INFO    | src.training.finetune | STEP step=310 loss=0.2688 dt_sec=0.66 cum_wall_sec=22.4
02:56:00 | INFO    | src.training.finetune | STEP step=320 loss=0.2303 dt_sec=0.66 cum_wall_sec=23.0
02:56:00 | INFO    | src.training.finetune | STEP step=330 loss=0.2758 dt_sec=0.67 cum_wall_sec=23.7
02:56:01 | INFO    | src.training.finetune | STEP step=340 loss=0.2660 dt_sec=0.67 cum_wall_sec=24.4
02:56:02 | INFO    | src.training.finetune | STEP step=350 loss=0.2614 dt_sec=0.66 cum_wall_sec=25.0
02:56:02 | INFO    | src.training.finetune | STEP step=360 loss=0.1534 dt_sec=0.65 cum_wall_sec=25.7
02:56:03 | INFO    | src.training.finetune | STEP step=370 loss=0.1372 dt_sec=0.67 cum_wall_sec=26.4
02:56:04 | INFO    | src.training.finetune | STEP step=380 loss=0.2317 dt_sec=0.66 cum_wall_sec=27.0
02:56:04 | INFO    | src.training.finetune | STEP step=390 loss=0.1660 dt_sec=0.65 cum_wall_sec=27.7
02:56:05 | INFO    | src.training.finetune | STEP step=400 loss=0.1612 dt_sec=0.66 cum_wall_sec=28.3
02:56:07 | INFO    | src.training.finetune | STEP step=410 loss=0.3387 dt_sec=2.47 cum_wall_sec=30.8
02:56:08 | INFO    | src.training.finetune | STEP step=420 loss=0.1214 dt_sec=0.65 cum_wall_sec=31.5
02:56:09 | INFO    | src.training.finetune | STEP step=430 loss=0.1345 dt_sec=0.66 cum_wall_sec=32.1
02:56:09 | INFO    | src.training.finetune | STEP step=440 loss=0.2947 dt_sec=0.66 cum_wall_sec=32.8
02:56:10 | INFO    | src.training.finetune | STEP step=450 loss=0.1196 dt_sec=0.66 cum_wall_sec=33.4
02:56:11 | INFO    | src.training.finetune | STEP step=460 loss=0.2714 dt_sec=0.65 cum_wall_sec=34.1
02:56:11 | INFO    | src.training.finetune | STEP step=470 loss=0.1732 dt_sec=0.66 cum_wall_sec=34.7
02:56:12 | INFO    | src.training.finetune | STEP step=480 loss=0.1414 dt_sec=0.67 cum_wall_sec=35.4
02:56:13 | INFO    | src.training.finetune | STEP step=490 loss=0.0761 dt_sec=0.67 cum_wall_sec=36.1
02:56:13 | INFO    | src.training.finetune | STEP step=500 loss=0.0946 dt_sec=0.65 cum_wall_sec=36.7
02:56:14 | INFO    | src.training.finetune | STEP step=510 loss=0.0382 dt_sec=0.66 cum_wall_sec=37.4
02:56:15 | INFO    | src.training.finetune | STEP step=520 loss=0.0621 dt_sec=0.67 cum_wall_sec=38.1
